Cities,Latitude,Longitude,Start_city,End_city,Distances (kilometers)
,,,Polkadraai Rd,Belhar,13
,,,Polkadraai Rd,Muizenberg,38
,,,Kempenville,Bellville,1.1
,,,Kempenville,Polkadraai Rd,16.2
,,,Kempenville,Cape Town,32
,,,Strand,Somerset West,6.3
,,,Blaauwberg,Koeberg Rd,5.3
,,,Blaauwberg,Durbanville,20
,,,Camp Bay,Cape Town,6.7
,,,Cape Point,Simons Town,12.4
,,,Camp Bay,Sea Point,5.2
,,,Camp Bay,Hout Bay,12.5
